,ROOT
ROOT,112
ROOT,113
113,111
111,VchN16961
111,VFI114
112,PstDC3000
112,Pae1
113,114
114,116
114,115
115,GLGR
115,Baq35567
116,117
116,130
117,118
117,127
118,119
118,121
119,MmoSC01
119,120
120,Ppe35198
120,Pmi29906
121,Mwi35017
121,122
122,123
122,125
123,124
123,PsnBAA1589
124,PbuBAA1590
124,Pst25827
125,126
125,PreDmel1
126,Pru33673
126,Pal9886
127,128
127,129
128,PluTTO1
128,PasATCC43949
129,Xebo
129,XneATCC19061
130,131
130,216
131,132
131,150
132,133
132,135
133,GEAM
133,134
134,Raq33071
134,RahnellaY9602
135,136
135,139
136,Sod33077
136,137
137,GSMA
137,138
138,SplA30
138,Spr568
139,Yru29473
139,140
140,141
140,142
141,Ypt31758
141,YPCO92
142,Yal35236
142,143
143,Yin
143,144
144,145
144,148
145,146
145,147
146,Yfr
146,Yro43380
147,YenY11
147,Ykr33638
148,149
148,Yma53443
149,Ymo
149,Ybe
150,151
150,204
151,152
151,170
152,153
152,158
153,EtoPG735
153,154
154,Ebi661
154,155
155,EtasEt199
155,156
156,Ea273
156,157
157,ErwEjp617
157,EpyDSM12163
158,GTPT
158,159
159,PantoeaA4
159,160
160,161
160,163
161,PantoeaAt9b
161,162
162,PantoeaYR343
162,PantoeaGM01
163,164
163,168
164,PantoeaSc1
164,165
165,PvaC91
165,166
166,167
166,PantoeaSL1M5
167,Pag299R
167,PantoeaAB
168,Pstewartii
168,169
169,PantoeaB40
169,PanAJ13355
170,171
170,172
171,GBAG
171,GCDA
172,173
172,Sbl29907
173,174
173,198
174,175
174,EraDSM16656
175,176
175,184
176,177
176,179
177,178
177,GYRE
178,GTGU
178,Trab01
179,GKAS
179,180
180,181
180,183
181,EaeKCTC
181,182
182,KvaAt22
182,Kpn13884
183,GRPL
183,KoxE718
184,185
184,190
185,GLAD
185,186
186,Ent638
186,187
187,Eca35316
187,188
188,EmoLMG25706
188,189
189,Ecl13047
189,Eho49162
190,191
190,192
191,GCFR
191,Cyo29220
192,193
192,CkoBAA895
193,CroICC168
193,194
194,195
194,197
195,Efe35469
195,196
196,EalTW07627
196,GECO
197,Sbong
197,SenLT2
198,Ehe105704
198,199
199,200
199,203
200,201
200,202
201,EsaBAA894
201,Cma681
202,Ctuz3032
202,Cun9529
203,Cdu1210
203,Cco1330
204,205
204,212
205,206
205,207
206,BsaATCC15712
206,BspEniD312
207,PcaPC1
207,208
208,209
208,211
209,SCRI1043
209,210
210,Pwa43316
210,PectoSCC3193
211,PcaPCC21
211,WPP1692
212,Dpa2511
212,213
213,214
213,215
214,ECH3937
214,Ddi453
215,Dic586
215,DzeEch1591
216,217
216,218
217,GHAL
217,Opr12841
218,Eta15947
218,Eic33202
