 ,FeatureID,112,115,120,119,124,123,126,125,122,121,118,128,129,127,117,134,133,138,137,136,141,146,147,145,149,148,144,143,142,140,139,135,132,157,156,155,154,153,162,161,167,166,165,164,169,168,163,160,159,158,152,171,178,177,182,181,183,180,179,176,189,188,187,186,185,191,196,195,197,194,193,192,190,184,175,174,201,202,200,203,199,198,173,172,170,151,206,210,209,211,208,207,205,214,215,213,212,204,150,131,217,218,216,130,116,114,111,113,ROOT,Baq35567,BsaATCC15712,BspEniD312,Cco1330,Cdu1210,CkoBAA895,Cma681,CroICC168,Ctuz3032,Cun9529,Cyo29220,Ddi453,Dic586,Dpa2511,DzeEch1591,Ea273,EaeKCTC,EalTW07627,Ebi661,Eca35316,ECH3937,Ecl13047,Efe35469,Ehe105704,Eho49162,Eic33202,EmoLMG25706,Ent638,EpyDSM12163,EraDSM16656,ErwEjp617,EsaBAA894,Eta15947,EtasEt199,EtoPG735,GBAG,GCDA,GCFR,GEAM,GECO,GHAL,GKAS,GLAD,GLGR,GRPL,GSMA,GTGU,GTPT,GYRE,KoxE718,Kpn13884,KvaAt22,MmoSC01,Mwi35017,Opr12841,Pae1,Pag299R,Pal9886,PanAJ13355,PantoeaA4,PantoeaAB,PantoeaAt9b,PantoeaB40,PantoeaGM01,PantoeaSc1,PantoeaSL1M5,PantoeaYR343,PasATCC43949,PbuBAA1590,PcaPC1,PcaPCC21,PectoSCC3193,PluTTO1,Pmi29906,Ppe35198,PreDmel1,Pru33673,PsnBAA1589,Pst25827,PstDC3000,Pstewartii,PvaC91,Pwa43316,RahnellaY9602,Raq33071,Sbl29907,Sbong,SCRI1043,SenLT2,Sod33077,SplA30,Spr568,Trab01,VchN16961,VFI114,WPP1692,Xebo,XneATCC19061,Yal35236,Ybe,YenY11,Yfr,Yin,Ykr33638,Yma53443,Ymo,YPCO92,Ypt31758,Yro43380,Yru29473
"1","ATM-0000001",0.943134,0.963646,0.120638,0.350713,0.001472,0.023527,0.987319,0.981066,0.332801,0.612079,0.368878,0.000549,0.000898,0.000419,0.061264,0.142056,0.472625,0.000597,0.031668,0.003016,0.000478,0.979245,0.978373,0.997308,0.992881,0.992422,0.998251,0.998276,0.99658,0.686776,0.139345,0.009017,0.019555,0.996846,0.98658,0.989889,0.949656,0.978797,0.992459,0.975954,0.99456,0.989541,0.997669,0.998182,0.98864,0.982623,0.991024,0.994897,0.858096,0.458795,0.940793,0.947483,0.983368,0.96542,0.981103,0.352878,0.188298,0.121056,0.360714,0.687573,0.97329,0.992417,0.991969,0.992433,0.996035,0.183772,0.001174,0.000199,0.000679,2e-04,0.00013,0.035864,0.009792,0.327715,0.496888,0.127775,0.982664,0.986177,0.99844,0.992221,0.998941,0.961348,0.329018,0.088613,0.29676,0.519032,0.166727,0.203368,0.008347,0.989652,0.221066,0.662767,0.333247,0.097832,0.162199,0.023509,0.118051,0.095358,0.223727,0.009486,0.000455,0.000837,0.000791,0.003307,0.004942,0.013183,0.121379,0.067053,0.360875,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1
"2","ATM-0000002",0.002213,0.001249,0.00078,0.000932,0.001472,0.000257,0.000379,0.000431,9e-06,0.000142,1.5e-05,0.000549,0.000898,0.000419,3.8e-05,0.000348,0.000879,0.000597,0.000148,0.000379,0.000478,0.000656,0.000685,1e-05,0.000204,0.00016,1.4e-05,1.5e-05,3.1e-05,4.2e-05,2.3e-05,8.2e-05,8e-06,8.7e-05,0.000356,0.000193,0.001154,0.000122,0.000217,0.000624,0.000153,0.000254,2.6e-05,2.9e-05,0.000343,0.000369,8.4e-05,1.5e-05,1.6e-05,5.6e-05,1e-06,0.00194,0.000511,0.000841,0.000597,0.000308,0.000934,8e-06,0.000392,4.2e-05,0.000871,6.5e-05,0.000118,8.9e-05,2.6e-05,0.000527,0.001174,0.000199,0.000679,2e-04,0.00013,8.5e-05,2e-06,3.5e-05,0,8e-06,0.000535,0.000422,7e-06,0.000224,1.1e-05,0.000664,2e-06,7e-06,0,1.1e-05,0.001504,0.000285,0.000389,0.000304,3e-05,3e-06,0.00022,0.000416,0.000477,6e-06,0.000303,2.9e-05,3e-06,0,0.000455,0.000837,0.000791,6e-06,6e-06,2e-06,0.001607,6.7e-05,0.000165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3","ATM-0000003",0.359136,0.963646,0.975777,0.958518,0.958143,0.976762,0.987319,0.981066,0.996341,0.984902,0.992147,0.982281,0.972521,0.970181,0.986389,0.988291,0.966182,0.124032,0.41242,0.043441,0.183542,0.11281,0.130066,0.022446,0.992881,0.992422,0.188213,0.526342,0.767142,0.538415,0.681759,0.125342,0.304788,0.996846,0.98658,0.989889,0.949656,0.329277,0.992459,0.975954,0.99456,0.989541,0.997669,0.998182,0.98864,0.982623,0.991024,0.994897,0.995361,0.989187,0.912606,0.947483,0.000511,0.000841,0.299864,0.643782,0.14201,0.219986,0.48765,0.037097,0.97329,0.992417,0.991969,0.992433,0.996035,0.982896,0.243999,0.572428,0.978535,0.848701,0.91678,0.951344,0.990031,0.975579,0.446082,0.595794,0.982664,0.986177,0.99844,0.992221,0.998941,0.961348,0.814669,0.8645,0.960794,0.908468,0.957288,0.203368,0.69354,0.989652,0.961974,0.993382,0.942785,0.237971,0.984342,0.871658,0.925588,0.95171,0.927935,0.823502,0.108854,0.974819,0.304325,0.473412,0.679834,0.766551,0.955093,0.672978,0.507629,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
"4","ATM-0000004",0.359136,0.963646,0.975777,0.958518,0.958143,0.976762,0.987319,0.981066,0.996341,0.984902,0.992147,0.982281,0.972521,0.970181,0.986389,0.988291,0.966182,0.124032,0.41242,0.043441,0.183542,0.11281,0.000685,0.000984,0.992881,0.992422,0.047982,0.223906,0.484267,0.256977,0.398227,0.070828,0.196575,0.996846,0.98658,0.989889,0.949656,0.329277,0.992459,0.975954,0.99456,0.989541,0.997669,0.411967,0.98864,0.982623,0.793371,0.966375,0.976918,0.966297,0.85136,0.947483,0.17309,0.517911,0.299864,0.643782,0.971579,0.946102,0.92699,0.823078,0.97329,0.992417,0.991969,0.992433,0.996035,0.982896,0.243999,0.572428,0.978535,0.848701,0.91678,0.951344,0.990031,0.975579,0.986278,0.976096,0.982664,0.986177,0.99844,0.992221,0.998941,0.961348,0.982881,0.972107,0.990993,0.912139,0.957288,0.203368,0.69354,0.989652,0.961974,0.993382,0.942785,0.237971,0.984342,0.871658,0.925588,0.95171,0.931546,0.73634,0.108854,0.974819,0.304325,0.424827,0.641953,0.736282,0.955093,0.661472,0.505815,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
"5","ATM-0000005",0.943134,0.963646,0.975777,0.958518,0.958143,0.976762,0.15552,0.53216,0.917031,0.939977,0.974153,0.982281,0.000898,0.066057,0.622609,0.988291,0.966182,0.980885,0.98988,0.978996,0.984336,0.979245,0.978373,0.997308,0.992881,0.992422,0.998251,0.998276,0.99658,0.993355,0.993988,0.976824,0.991366,0.996846,0.98658,0.989889,0.949656,0.978797,0.992459,0.975954,0.99456,0.989541,0.997669,0.998182,0.98864,0.982623,0.991024,0.994897,0.995361,0.989187,0.998584,0.947483,0.983368,0.96542,0.981103,0.983005,0.188298,0.820667,0.16885,0.484362,0.129832,0.456292,0.7745,0.909277,0.964705,0.982896,0.243999,0.017652,0.978535,0.208678,0.445458,0.705567,0.929092,0.937962,0.90524,0.929044,0.982664,0.986177,0.99844,0.992221,0.998941,0.961348,0.964691,0.958204,0.986686,0.935776,0.957288,0.990262,0.983814,0.989652,0.996447,0.999289,0.975226,0.986271,0.984342,0.9987,0.984361,0.989126,0.952149,0.99568,0.985074,0.974819,0.955223,0.936719,0.860253,0.901721,0.955093,0.743114,0.625317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"6","ATM-0000006",0.002213,0.001249,0.00078,0.000932,0.001472,0.000257,0.000379,0.000431,9e-06,0.000142,1.5e-05,0.000549,0.000898,0.000419,3.8e-05,0.000348,0.000879,0.000597,0.000148,0.000379,0.000478,0.000656,0.000685,1e-05,0.000204,0.00016,1.4e-05,1.5e-05,3.1e-05,4.2e-05,2.3e-05,8.2e-05,8e-06,0.996846,0.98658,0.121552,0.012537,0.001182,0.200906,0.52059,0.121667,0.534183,0.020944,0.000652,0.059856,0.186446,0.005531,0.027624,0.005486,0.004097,8.1e-05,0.00194,0.000511,0.000841,0.000597,0.000308,0.000934,8e-06,0.000392,4.2e-05,0.000871,6.5e-05,0.000118,8.9e-05,2.6e-05,0.000527,0.001174,0.000199,0.000679,2e-04,0.00013,8.5e-05,2e-06,3.5e-05,0,8e-06,0.000535,0.000422,7e-06,0.000224,1.1e-05,0.000664,2e-06,0.006416,1e-05,0.000352,0.957288,0.000285,0.185221,0.989652,0.801217,0.076075,0.29306,0.986271,0.984342,0.9987,0.984361,0.634135,0.009422,1.7e-05,0.000455,0.000837,0.000791,0.000231,0.000123,3.2e-05,0.955093,0.067096,0.007851,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7","ATM-0000007",0.943134,0.001249,0.975777,0.306016,0.217848,0.477356,0.987319,0.981066,0.912652,0.940715,0.749088,0.982281,0.000898,0.066057,0.327071,0.988291,0.966182,0.980885,0.98988,0.978996,0.000478,0.979245,0.978373,0.997308,0.992881,0.992422,0.998251,0.998276,0.99658,0.686776,0.864749,0.937601,0.976033,0.100801,0.50725,0.883625,0.881813,0.943942,0.992459,0.975954,0.99456,0.989541,0.997669,0.998182,0.98864,0.982623,0.991024,0.994897,0.995361,0.83726,0.980516,0.947483,0.983368,0.96542,0.299864,0.643782,0.188298,0.281427,0.039907,0.192022,0.129832,0.456292,0.7745,0.909277,0.335358,0.982896,0.243999,0.017652,0.978535,0.208678,0.445458,0.705567,0.929092,0.585142,0.238975,0.052847,0.982664,0.986177,0.99844,0.992221,0.998941,0.961348,0.154556,0.234308,0.551006,0.741503,0.957288,0.990262,0.983814,0.989652,0.996447,0.999289,0.975226,0.986271,0.984342,0.9987,0.984361,0.989126,0.83862,0.980529,0.000455,0.974819,0.071621,0.293494,0.22085,0.05174,0.955093,0.182253,0.443005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0
"8","ATM-0000008",0.943134,0.963646,0.975777,0.958518,0.001472,0.023527,0.987319,0.981066,0.332801,0.035118,0.237411,0.982281,0.000898,0.066057,0.064781,0.988291,0.966182,0.980885,0.98988,0.302036,0.000478,0.11281,0.130066,0.022446,0.992881,0.992422,0.188213,0.526342,0.07095,0.009668,0.001972,0.047797,0.154073,8.7e-05,0.149318,0.667631,0.857506,0.936639,0.992459,0.975954,0.99456,0.989541,0.997669,0.998182,0.98864,0.505526,0.923896,0.982935,0.986331,0.97374,0.991402,0.136302,0.000511,0.122478,0.299864,0.643782,0.971579,0.946102,0.92699,0.53947,0.97329,0.992417,0.991969,0.992433,0.996035,0.982896,0.001174,0.030625,0.183075,0.021024,0.091744,0.267559,0.674056,0.913875,0.890071,0.920938,0.188544,0.986177,0.85912,0.992221,0.98651,0.918237,0.959658,0.954826,0.778697,0.856332,0.166727,0.203368,0.69354,0.989652,0.961974,0.993382,0.59637,0.000416,0.150158,0.000594,0.000987,0.059777,0.523946,0.174847,0.985074,0.359132,0.792169,0.407402,0.119435,0.182669,0.955093,0.325883,0.506196,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,1
"9","ATM-0000009",0.359136,0.963646,0.975777,0.958518,0.958143,0.447952,0.987319,0.981066,0.910497,0.940914,0.97585,0.000549,0.000898,0.000419,0.432718,0.988291,0.966182,0.980885,0.398606,0.038238,0.984336,0.979245,0.978373,0.997308,0.992881,0.992422,0.998251,0.998276,0.99658,0.993355,0.993988,0.190386,0.479539,0.996846,0.98658,0.989889,0.949656,0.329277,0.992459,0.2939,0.99456,0.989541,0.338563,0.01002,0.347473,0.040937,0.003556,0.012765,0.002376,0.012542,0.008118,0.947483,0.000511,0.000841,0.981103,0.983005,0.188298,0.820667,0.888095,0.145048,0.97329,0.992417,0.991969,0.992433,0.996035,0.183772,0.001174,0.030625,0.978535,0.264135,0.028292,0.128835,0.040906,0.414605,0.100958,0.019542,0.982664,0.986177,0.99844,0.992221,0.998941,0.961348,0.072476,0.121471,0.36162,0.060093,0.957288,0.990262,0.983814,0.147998,0.688249,0.936424,0.928022,0.986271,0.984342,0.9987,0.984361,0.96828,0.125945,0.098818,0.985074,0.974819,0.955223,0.398678,0.367996,0.482708,0.955093,0.543877,0.484767,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"10","ATM-0000010",0.002213,0.001249,0.00078,0.000932,0.001472,0.000257,0.000379,0.000431,9e-06,0.000142,1.5e-05,0.000549,0.000898,0.000419,3.8e-05,0.000348,0.000879,0.000597,0.000148,0.000379,0.000478,0.000656,0.000685,1e-05,0.000204,0.00016,1.4e-05,1.5e-05,3.1e-05,4.2e-05,2.3e-05,8.2e-05,8e-06,8.7e-05,0.000356,0.000193,0.001154,0.000122,0.000217,0.000624,0.000153,0.000254,2.6e-05,2.9e-05,0.000343,0.000369,8.4e-05,1.5e-05,1.6e-05,5.6e-05,1e-06,0.00194,0.000511,0.000841,0.000597,0.000308,0.000934,8e-06,0.000392,4.2e-05,0.000871,6.5e-05,0.000118,8.9e-05,2.6e-05,0.000527,0.001174,0.000199,0.000679,2e-04,0.00013,8.5e-05,2e-06,3.5e-05,0,8e-06,0.000535,0.000422,7e-06,0.000224,1.1e-05,0.000664,2e-06,7e-06,0,1.1e-05,0.001504,0.000285,0.000389,0.000304,3e-05,3e-06,0.00022,0.000416,0.000477,6e-06,0.000303,2.9e-05,3e-06,0,0.000455,0.000837,0.000791,6e-06,6e-06,2e-06,0.001607,6.7e-05,0.000165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
