isoform	tau	group
ENSRNOT00000037482	0	5
ENSRNOT00000059855	0	11
ENSRNOT00000046493	0	13
ENSRNOT00000059841	0	14
ENSRNOT00000039376	0	23
ENSRNOT00000046115	0	25
ENSRNOT00000004346	0	27
ENSRNOT00000061743	0	27
ENSRNOT00000059834	0	28
ENSRNOT00000059833	0	29
ENSRNOT00000059830	0	31
ENSRNOT00000059828	0	33
ENSRNOT00000059823	0	38
ENSRNOT00000067285	0	45
ENSRNOT00000034889	0	45
ENSRNOT00000004263	0	48
ENSRNOT00000064540	0	48
ENSRNOT00000004250	0	58
ENSRNOT00000020711	0	60
ENSRNOT00000020425	0	63
ENSRNOT00000004233	0	75
ENSRNOT00000020332	0	79
ENSRNOT00000012390	0	80
ENSRNOT00000047118	0	80
ENSRNOT00000020427	0	80
ENSRNOT00000020652	0	80
ENSRNOT00000009156	0	87
ENSRNOT00000027745	0	89
ENSRNOT00000004237	0	90
ENSRNOT00000020445	0	93
ENSRNOT00000066586	0	93
ENSRNOT00000038347	0	99
ENSRNOT00000038421	0	100
ENSRNOT00000030895	0	102
ENSRNOT00000047233	0	102
ENSRNOT00000056530	0	102
ENSRNOT00000066304	0	104
ENSRNOT00000020294	0	108
ENSRNOT00000004193	0	118
ENSRNOT00000066019	0	118
ENSRNOT00000020298	0	121
ENSRNOT00000020321	0	123
ENSRNOT00000061208	0	126
ENSRNOT00000041196	0	130
ENSRNOT00000004178	0	130
ENSRNOT00000067557	0	137
ENSRNOT00000020672	0	137
ENSRNOT00000040707	0	137
ENSRNOT00000020415	0	137
ENSRNOT00000020256	0	138
ENSRNOT00000004174	0	146
ENSRNOT00000004152	0	149
ENSRNOT00000004145	0	153
ENSRNOT00000043576	0	160
ENSRNOT00000056265	0	161
ENSRNOT00000047797	0	162
ENSRNOT00000048370	0	163
ENSRNOT00000046954	0	164
ENSRNOT00000044800	0	170
ENSRNOT00000050328	0	171
ENSRNOT00000045458	0	173
ENSRNOT00000041534	0	174
ENSRNOT00000039955	0	175
ENSRNOT00000047984	0	176
ENSRNOT00000048343	0	177
ENSRNOT00000042463	0	179
ENSRNOT00000040406	0	180
ENSRNOT00000050954	0	181
ENSRNOT00000039228	0	187
ENSRNOT00000050537	0	193
ENSRNOT00000043043	0	194
ENSRNOT00000029245	0	197
ENSRNOT00000047397	0	198
ENSRNOT00000036999	0	199
ENSRNOT00000037840	0	200
ENSRNOT00000012441	0	200
ENSRNOT00000050833	0	200
ENSRNOT00000049994	0	200
ENSRNOT00000066385	0	200
ENSRNOT00000016044	0	200
ENSRNOT00000048300	0	202
ENSRNOT00000043127	0	202
ENSRNOT00000067590	0	202
ENSRNOT00000046629	0	203
ENSRNOT00000040051	0	205
ENSRNOT00000047208	0	209
ENSRNOT00000041287	0	210
ENSRNOT00000058153	0	210
ENSRNOT00000051137	0	212
ENSRNOT00000029100	0	223
ENSRNOT00000043006	0	227
ENSRNOT00000067586	0	237
ENSRNOT00000029077	0	238
ENSRNOT00000065592	0	238
ENSRNOT00000036948	0	240
ENSRNOT00000022681	0	244
ENSRNOT00000043016	0	246
ENSRNOT00000047211	0	247
ENSRNOT00000042945	0	248
ENSRNOT00000055647	0	248
ENSRNOT00000045117	0	249
ENSRNOT00000013637	0	256
ENSRNOT00000047601	0	258
ENSRNOT00000042301	0	258
ENSRNOT00000016460	0	258
ENSRNOT00000035285	0	263
ENSRNOT00000042607	0	265
ENSRNOT00000046165	0	266
ENSRNOT00000050788	0	267
ENSRNOT00000050306	0	269
ENSRNOT00000050504	0	270
ENSRNOT00000032934	0	282
ENSRNOT00000047505	0	284
ENSRNOT00000047610	0	285
ENSRNOT00000047882	0	289
ENSRNOT00000013867	0	291
ENSRNOT00000013618	0	294
ENSRNOT00000013596	0	297
ENSRNOT00000013603	0	304
ENSRNOT00000038922	0	310
ENSRNOT00000039535	0	312
ENSRNOT00000013720	0	314
ENSRNOT00000039389	0	322
ENSRNOT00000042677	0	337
ENSRNOT00000059794	0	340
ENSRNOT00000049594	0	342
ENSRNOT00000048964	0	349
ENSRNOT00000059760	0	353
ENSRNOT00000059757	0	354
ENSRNOT00000059758	0	355
ENSRNOT00000059756	0	356
ENSRNOT00000034595	0	361
ENSRNOT00000059747	0	363
ENSRNOT00000059744	0	364
ENSRNOT00000041682	0	369
ENSRNOT00000037724	0	371
ENSRNOT00000059741	0	372
ENSRNOT00000059740	0	372
ENSRNOT00000059738	0	373
ENSRNOT00000041039	0	374
ENSRNOT00000059732	0	375
ENSRNOT00000042975	0	376
ENSRNOT00000040023	0	376
ENSRNOT00000031424	0	380
ENSRNOT00000059725	0	383
ENSRNOT00000059723	0	384
ENSRNOT00000059720	0	385
ENSRNOT00000059718	0	385
ENSRNOT00000059717	0	385
ENSRNOT00000059716	0	387
ENSRNOT00000031370	0	393
ENSRNOT00000060151	0	393
ENSRNOT00000036701	0	395
ENSRNOT00000059712	0	398
ENSRNOT00000059704	0	399
ENSRNOT00000059698	0	400
ENSRNOT00000059694	0	401
ENSRNOT00000059693	0	402
ENSRNOT00000059688	0	403
ENSRNOT00000021675	0	410
ENSRNOT00000033557	0	412
ENSRNOT00000034929	0	415
ENSRNOT00000059683	0	418
ENSRNOT00000059682	0	419
ENSRNOT00000059681	0	420
ENSRNOT00000042410	0	421
ENSRNOT00000059674	0	424
ENSRNOT00000059671	0	425
ENSRNOT00000020505	0	429
ENSRNOT00000020728	0	430
ENSRNOT00000020416	0	432
ENSRNOT00000059668	0	437
ENSRNOT00000059660	0	444
ENSRNOT00000004128	0	445
ENSRNOT00000042803	0	447
ENSRNOT00000048096	0	447
ENSRNOT00000059648	0	449
ENSRNOT00000059643	0	462
ENSRNOT00000059638	0	464
ENSRNOT00000004118	0	466
ENSRNOT00000059630	0	469
ENSRNOT00000059629	0	470
ENSRNOT00000059626	0	473
ENSRNOT00000004114	0	474
ENSRNOT00000020513	0	476
ENSRNOT00000052015	0	476
ENSRNOT00000033524	0	478
ENSRNOT00000020219	0	478
ENSRNOT00000020390	0	481
ENSRNOT00000067745	0	490
ENSRNOT00000004104	0	490
ENSRNOT00000029741	0	500
ENSRNOT00000004153	0	503
ENSRNOT00000020169	0	509
ENSRNOT00000021405	0	513
ENSRNOT00000020162	0	515
ENSRNOT00000064561	0	515
ENSRNOT00000030909	0	519
ENSRNOT00000034425	0	520
ENSRNOT00000037478	0	522
ENSRNOT00000020150	0	540
ENSRNOT00000020237	0	541
ENSRNOT00000029109	0	542
ENSRNOT00000004089	0	543
ENSRNOT00000004048	0	548
ENSRNOT00000042670	0	554
ENSRNOT00000004045	0	565
ENSRNOT00000004034	0	568
ENSRNOT00000004070	0	569
ENSRNOT00000025663	0	575
ENSRNOT00000025699	0	585
ENSRNOT00000037886	0	588
ENSRNOT00000004016	0	589
ENSRNOT00000059277	0	593
ENSRNOT00000067218	0	593
ENSRNOT00000004050	0	593
ENSRNOT00000009172	0	597
ENSRNOT00000047945	0	604
ENSRNOT00000025795	0	610
ENSRNOT00000041908	0	611
ENSRNOT00000009167	0	619
ENSRNOT00000009322	0	620
ENSRNOT00000025635	0	624
ENSRNOT00000025611	0	625
ENSRNOT00000045360	0	626
ENSRNOT00000025829	0	629
ENSRNOT00000067527	0	629
ENSRNOT00000064478	0	632
ENSRNOT00000042552	0	633
ENSRNOT00000025625	0	634
ENSRNOT00000046675	0	634
ENSRNOT00000009153	0	637
ENSRNOT00000038873	0	639
ENSRNOT00000009735	0	645
ENSRNOT00000064435	0	646
ENSRNOT00000025638	0	646
ENSRNOT00000064825	0	646
ENSRNOT00000041027	0	646
ENSRNOT00000043566	0	650
ENSRNOT00000045096	0	650
ENSRNOT00000052349	0	655
ENSRNOT00000040222	0	657
ENSRNOT00000064073	0	660
ENSRNOT00000037789	0	660
ENSRNOT00000009178	0	665
ENSRNOT00000037631	0	667
ENSRNOT00000039801	0	668
ENSRNOT00000025623	0	670
ENSRNOT00000042658	0	672
ENSRNOT00000052112	0	676
ENSRNOT00000049107	0	680
ENSRNOT00000041909	0	685
ENSRNOT00000009542	0	689
ENSRNOT00000009514	0	689
ENSRNOT00000066187	0	689
ENSRNOT00000009127	0	690
ENSRNOT00000058520	0	690
ENSRNOT00000035064	0	691
ENSRNOT00000009230	0	693
ENSRNOT00000039592	0	696
ENSRNOT00000025609	0	698
ENSRNOT00000050263	0	704
ENSRNOT00000043206	0	705
ENSRNOT00000041494	0	712
ENSRNOT00000025569	0	721
ENSRNOT00000045541	0	724
ENSRNOT00000059484	0	724
ENSRNOT00000014170	0	731
ENSRNOT00000065689	0	731
ENSRNOT00000066332	0	731
ENSRNOT00000066576	0	736
ENSRNOT00000036777	0	746
ENSRNOT00000064784	0	747
ENSRNOT00000025585	0	749
ENSRNOT00000045347	0	756
ENSRNOT00000050554	0	758
ENSRNOT00000049259	0	762
ENSRNOT00000009334	0	771
ENSRNOT00000033370	0	773
ENSRNOT00000009061	0	774
ENSRNOT00000050933	0	775
ENSRNOT00000009574	0	780
ENSRNOT00000039628	0	781
ENSRNOT00000046568	0	783
ENSRNOT00000045661	0	787
ENSRNOT00000047592	0	789
ENSRNOT00000013518	0	791
ENSRNOT00000013503	0	793
ENSRNOT00000009744	0	797
ENSRNOT00000052300	0	807
ENSRNOT00000048581	0	810
ENSRNOT00000049936	0	811
ENSRNOT00000042784	0	812
ENSRNOT00000046422	0	813
ENSRNOT00000050706	0	814
ENSRNOT00000065155	0	815
ENSRNOT00000065487	0	815
ENSRNOT00000055293	0	815
ENSRNOT00000067234	0	815
ENSRNOT00000063806	0	815
ENSRNOT00000017292	0	815
ENSRNOT00000066488	0	815
ENSRNOT00000032707	0	824
ENSRNOT00000033595	0	829
ENSRNOT00000051024	0	836
ENSRNOT00000048231	0	837
ENSRNOT00000013483	0	839
ENSRNOT00000034854	0	847
ENSRNOT00000028293	0	848
ENSRNOT00000032114	0	849
ENSRNOT00000013475	0	853
ENSRNOT00000011742	0	855
ENSRNOT00000034577	0	856
ENSRNOT00000037997	0	866
ENSRNOT00000038344	0	868
ENSRNOT00000013605	0	869
ENSRNOT00000067523	0	869
ENSRNOT00000013430	0	870
ENSRNOT00000025564	0	891
ENSRNOT00000064646	0	893
ENSRNOT00000025547	0	893
ENSRNOT00000047554	0	907
ENSRNOT00000009102	0	911
ENSRNOT00000025517	0	913
ENSRNOT00000049347	0	915
ENSRNOT00000025614	0	917
ENSRNOT00000046528	0	919
ENSRNOT00000009248	0	923
ENSRNOT00000009143	0	925
ENSRNOT00000066646	0	926
ENSRNOT00000050584	0	931
ENSRNOT00000052169	0	932
ENSRNOT00000040428	0	932
ENSRNOT00000046956	0	933
ENSRNOT00000025582	0	934
ENSRNOT00000025745	0	935
ENSRNOT00000040673	0	936
ENSRNOT00000051894	0	938
ENSRNOT00000067593	0	939
ENSRNOT00000025650	0	939
ENSRNOT00000041188	0	939
ENSRNOT00000025472	0	940
ENSRNOT00000045435	0	941
ENSRNOT00000051066	0	942
ENSRNOT00000043702	0	943
ENSRNOT00000009473	0	945
ENSRNOT00000009101	0	947
ENSRNOT00000009278	0	948
ENSRNOT00000046877	0	955
ENSRNOT00000049153	0	958
ENSRNOT00000043281	0	959
ENSRNOT00000041762	0	960
ENSRNOT00000025465	0	961
ENSRNOT00000025494	0	962
ENSRNOT00000047841	0	963
ENSRNOT00000044283	0	965
ENSRNOT00000032411	0	973
ENSRNOT00000025451	0	980
ENSRNOT00000025501	0	982
ENSRNOT00000025489	0	984
ENSRNOT00000048478	0	987
ENSRNOT00000040561	0	988
ENSRNOT00000009094	0	991
ENSRNOT00000037986	0	993
ENSRNOT00000009034	0	996
ENSRNOT00000009035	0	996
ENSRNOT00000034277	0	997
ENSRNOT00000008956	0	998
ENSRNOT00000009226	0	1000
ENSRNOT00000065553	0	1000
ENSRNOT00000039868	0	1002
ENSRNOT00000050710	0	1004
ENSRNOT00000048157	0	1006
ENSRNOT00000037086	0	1008
ENSRNOT00000047489	0	1012
ENSRNOT00000008951	0	1017
ENSRNOT00000009193	0	1018
ENSRNOT00000067711	0	1021
ENSRNOT00000009084	0	1021
ENSRNOT00000056987	0	1021
ENSRNOT00000025428	0	1023
ENSRNOT00000047002	0	1028
ENSRNOT00000050704	0	1029
ENSRNOT00000049022	0	1030
ENSRNOT00000051585	0	1033
ENSRNOT00000052078	0	1034
ENSRNOT00000042309	0	1039
ENSRNOT00000013410	0	1039
ENSRNOT00000067146	0	1039
ENSRNOT00000065192	0	1039
ENSRNOT00000030765	0	1044
ENSRNOT00000038313	0	1049
ENSRNOT00000066956	0	1049
ENSRNOT00000061781	0	1049
ENSRNOT00000033697	0	1050
ENSRNOT00000025477	0	1053
ENSRNOT00000045417	0	1055
ENSRNOT00000049653	0	1059
ENSRNOT00000044280	0	1061
ENSRNOT00000045177	0	1063
ENSRNOT00000051386	0	1063
ENSRNOT00000050810	0	1064
ENSRNOT00000067417	0	1064
ENSRNOT00000036723	0	1068
ENSRNOT00000013368	0	1072
ENSRNOT00000008925	0	1074
ENSRNOT00000042848	0	1083
ENSRNOT00000008924	0	1095
ENSRNOT00000009194	0	1099
ENSRNOT00000033160	0	1105
ENSRNOT00000051736	0	1106
ENSRNOT00000043748	0	1107
ENSRNOT00000024758	0	1111
ENSRNOT00000041857	0	1112
ENSRNOT00000044063	0	1115
ENSRNOT00000009111	0	1121
ENSRNOT00000009128	0	1124
ENSRNOT00000008879	0	1126
ENSRNOT00000035829	0	1127
ENSRNOT00000048274	0	1131
ENSRNOT00000057806	0	1134
ENSRNOT00000040661	0	1135
ENSRNOT00000042104	0	1135
ENSRNOT00000047385	0	1137
ENSRNOT00000049707	0	1138
ENSRNOT00000024155	0	1139
ENSRNOT00000067105	0	1141
ENSRNOT00000068661	0	1141
ENSRNOT00000013330	0	1141
ENSRNOT00000013910	0	1142
ENSRNOT00000013937	0	1142
ENSRNOT00000065274	0	1142
ENSRNOT00000013328	0	1143
ENSRNOT00000013418	0	1144
ENSRNOT00000030155	0	1145
ENSRNOT00000029909	0	1146
ENSRNOT00000032989	0	1147
ENSRNOT00000002513	0	1149
ENSRNOT00000038823	0	1149
ENSRNOT00000057793	0	1150
ENSRNOT00000057791	0	1151
ENSRNOT00000057790	0	1152
ENSRNOT00000000312	0	1154
ENSRNOT00000057784	0	1156
ENSRNOT00000013367	0	1161
